date,year,month,month_name,day,precipitation_mm,station,latitude,longitude,source
2015-03-04,2015,3,Mar,4,4.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-05,2015,3,Mar,5,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-06,2015,3,Mar,6,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-07,2015,3,Mar,7,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-08,2015,3,Mar,8,1.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-09,2015,3,Mar,9,0.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-10,2015,3,Mar,10,0.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-11,2015,3,Mar,11,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-12,2015,3,Mar,12,2.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-13,2015,3,Mar,13,26.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-14,2015,3,Mar,14,20.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-15,2015,3,Mar,15,13.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-16,2015,3,Mar,16,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-17,2015,3,Mar,17,0.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-18,2015,3,Mar,18,1.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-19,2015,3,Mar,19,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
